GEOID,totalUnits,occupiedUnits,vacantUnits,whiteHouseholds,renterOccupied,vacancyShare,whiteShare,renterShare,name
060750255004,310,292,18,108,145,0.05806451612903226,0.3698630136986301,0.4965753424657534,"Block Group 4,  Census Tract 255"
060750256002,343,334,9,74,82,0.026239067055393587,0.2215568862275449,0.24550898203592814,"Block Group 2,  Census Tract 256"
060750257013,421,399,22,129,148,0.052256532066508314,0.3233082706766917,0.37092731829573933,"Block Group 3,  Census Tract 257.01"
060750257023,414,390,24,141,101,0.057971014492753624,0.36153846153846153,0.258974358974359,"Block Group 3,  Census Tract 257.02"
060750259001,689,639,50,266,184,0.07256894049346879,0.4162754303599374,0.28794992175273865,"Block Group 1,  Census Tract 259"
060750260012,804,767,37,299,401,0.046019900497512436,0.3898305084745763,0.5228161668839635,"Block Group 2,  Census Tract 260.01"
060750260031,625,600,25,215,196,0.04,0.35833333333333334,0.32666666666666666,"Block Group 1,  Census Tract 260.03"
060750260042,545,505,40,182,186,0.07339449541284404,0.3603960396039604,0.3683168316831683,"Block Group 2,  Census Tract 260.04"
060750261004,383,362,21,100,146,0.05483028720626632,0.27624309392265195,0.40331491712707185,"Block Group 4,  Census Tract 261"
060750263013,307,289,18,99,84,0.05863192182410423,0.34256055363321797,0.2906574394463668,"Block Group 3,  Census Tract 263.01"
060750263032,597,571,26,228,136,0.04355108877721943,0.39929947460595444,0.2381786339754816,"Block Group 2,  Census Tract 263.03"
060750264021,288,276,12,70,74,0.041666666666666664,0.2536231884057971,0.26811594202898553,"Block Group 1,  Census Tract 264.02"
060750264031,531,507,24,65,169,0.04519774011299435,0.1282051282051282,0.3333333333333333,"Block Group 1,  Census Tract 264.03"
060750264042,315,305,10,21,183,0.031746031746031744,0.06885245901639345,0.6,"Block Group 2,  Census Tract 264.04"
060750301013,410,367,43,258,274,0.1048780487804878,0.7029972752043597,0.7465940054495913,"Block Group 3,  Census Tract 301.01"
060750302011,917,859,58,583,738,0.06324972737186478,0.6786961583236322,0.8591385331781141,"Block Group 1,  Census Tract 302.01"
060750302021,777,735,42,471,588,0.05405405405405406,0.6408163265306123,0.8,"Block Group 1,  Census Tract 302.02"
060750303012,833,771,62,463,417,0.0744297719087635,0.6005188067444877,0.5408560311284046,"Block Group 2,  Census Tract 303.01"
060750303021,501,473,28,240,146,0.05588822355289421,0.507399577167019,0.3086680761099366,"Block Group 1,  Census Tract 303.02"
060750304002,420,408,12,288,60,0.02857142857142857,0.7058823529411765,0.14705882352941177,"Block Group 2,  Census Tract 304"
060750304005,357,335,22,191,179,0.06162464985994398,0.5701492537313433,0.5343283582089552,"Block Group 5,  Census Tract 304"
060750306001,296,283,13,196,47,0.04391891891891892,0.6925795053003534,0.16607773851590105,"Block Group 1,  Census Tract 306"
060750306003,307,296,11,225,29,0.035830618892508145,0.7601351351351351,0.09797297297297297,"Block Group 3,  Census Tract 306"
060750308001,352,335,17,247,64,0.048295454545454544,0.7373134328358208,0.191044776119403,"Block Group 1,  Census Tract 308"
060750309005,287,274,13,168,27,0.04529616724738676,0.6131386861313869,0.09854014598540146,"Block Group 5,  Census Tract 309"
060750310001,318,307,11,229,36,0.03459119496855346,0.745928338762215,0.11726384364820847,"Block Group 1,  Census Tract 310"
060750311002,573,545,28,319,199,0.04886561954624782,0.5853211009174312,0.3651376146788991,"Block Group 2,  Census Tract 311"
060750312011,688,651,37,117,260,0.05377906976744186,0.17972350230414746,0.39938556067588327,"Block Group 1,  Census Tract 312.01"
060750312021,401,378,23,85,105,0.057356608478802994,0.22486772486772486,0.2777777777777778,"Block Group 1,  Census Tract 312.02"
060750313013,456,443,13,156,104,0.02850877192982456,0.35214446952595935,0.23476297968397292,"Block Group 3,  Census Tract 313.01"
060750314001,233,214,19,53,41,0.0815450643776824,0.24766355140186916,0.19158878504672897,"Block Group 1,  Census Tract 314"
060750314004,408,380,28,62,161,0.06862745098039216,0.1631578947368421,0.4236842105263158,"Block Group 4,  Census Tract 314"
060750327001,313,291,22,138,91,0.07028753993610223,0.4742268041237113,0.3127147766323024,"Block Group 1,  Census Tract 327"
060750327003,478,437,41,210,225,0.08577405857740586,0.4805491990846682,0.5148741418764302,"Block Group 3,  Census Tract 327"
060750327005,294,279,15,90,69,0.05102040816326531,0.3225806451612903,0.24731182795698925,"Block Group 5,  Census Tract 327"
060750327006,315,294,21,151,85,0.06666666666666667,0.5136054421768708,0.2891156462585034,"Block Group 6,  Census Tract 327"
060750327007,325,301,24,129,118,0.07384615384615385,0.42857142857142855,0.3920265780730897,"Block Group 7,  Census Tract 327"
060750328011,537,510,27,189,215,0.05027932960893855,0.37058823529411766,0.4215686274509804,"Block Group 1,  Census Tract 328.01"
060750328013,446,430,16,187,117,0.03587443946188341,0.43488372093023253,0.27209302325581397,"Block Group 3,  Census Tract 328.01"
060750328021,545,507,38,209,218,0.06972477064220184,0.41222879684418146,0.42998027613412226,"Block Group 1,  Census Tract 328.02"
060750328023,462,437,25,170,155,0.05411255411255411,0.3890160183066362,0.35469107551487417,"Block Group 3,  Census Tract 328.02"
060750329011,413,389,24,155,120,0.05811138014527845,0.39845758354755784,0.30848329048843187,"Block Group 1,  Census Tract 329.01"
060750329013,455,435,20,181,96,0.04395604395604396,0.4160919540229885,0.2206896551724138,"Block Group 3,  Census Tract 329.01"
060750329014,488,453,35,199,203,0.07172131147540983,0.4392935982339956,0.4481236203090508,"Block Group 4,  Census Tract 329.01"
060750329022,470,445,25,145,127,0.05319148936170213,0.3258426966292135,0.2853932584269663,"Block Group 2,  Census Tract 329.02"
060750329023,482,447,35,184,126,0.07261410788381743,0.4116331096196868,0.28187919463087246,"Block Group 3,  Census Tract 329.02"
060750330001,507,488,19,256,207,0.03747534516765286,0.5245901639344263,0.42418032786885246,"Block Group 1,  Census Tract 330"
060750330003,542,523,19,293,126,0.03505535055350553,0.5602294455066922,0.24091778202676864,"Block Group 3,  Census Tract 330"
060750330004,438,413,25,211,88,0.05707762557077625,0.5108958837772397,0.21307506053268765,"Block Group 4,  Census Tract 330"
060750330006,474,457,17,205,144,0.035864978902953586,0.4485776805251641,0.3150984682713348,"Block Group 6,  Census Tract 330"
060750331001,252,237,15,134,31,0.05952380952380952,0.5654008438818565,0.1308016877637131,"Block Group 1,  Census Tract 331"
060750331003,311,301,10,146,42,0.03215434083601286,0.4850498338870432,0.13953488372093023,"Block Group 3,  Census Tract 331"
060750331004,552,527,25,244,74,0.04528985507246377,0.4629981024667932,0.14041745730550284,"Block Group 4,  Census Tract 331"
060750332011,794,647,147,329,643,0.18513853904282115,0.508500772797527,0.9938176197836167,"Block Group 1,  Census Tract 332.01"
060750332031,1008,910,98,516,910,0.09722222222222222,0.567032967032967,1,"Block Group 1,  Census Tract 332.03"
060750332041,444,411,33,190,411,0.07432432432432433,0.46228710462287104,1,"Block Group 1,  Census Tract 332.04"
060750332043,641,557,84,285,557,0.1310452418096724,0.5116696588868941,1,"Block Group 3,  Census Tract 332.04"
060750351001,507,455,52,262,259,0.10256410256410256,0.5758241758241758,0.5692307692307692,"Block Group 1,  Census Tract 351"
